cell_specimen_id,MTG_cluster,MTG_subclass,MTG_Mapping,postPatch,rna_amplification_pass_fail,marker_sum_norm,quality_score,contam_sum,contaminationType,bootstrapping_probability,hemisphere,structure,donor_id,biological_sex,age,axon_bias_x,axon_bias_y,axon_depth_pc_0,axon_depth_pc_1,axon_depth_pc_2,axon_depth_pc_3,axon_depth_pc_4,axon_emd_with_basal_dendrite,axon_exit_distance,axon_exit_theta,axon_extent_x,axon_extent_y,axon_frac_above_basal_dendrite,axon_frac_below_basal_dendrite,axon_frac_intersect_basal_dendrite,axon_max_branch_order,axon_max_euclidean_distance,axon_max_path_distance,axon_mean_contraction,axon_num_branches,axon_soma_percentile_x,axon_soma_percentile_y,axon_total_length,basal_dendrite_bias_x,basal_dendrite_bias_y,basal_dendrite_calculate_number_of_stems,basal_dendrite_extent_x,basal_dendrite_extent_y,basal_dendrite_frac_above_axon,basal_dendrite_frac_below_axon,basal_dendrite_frac_intersect_axon,basal_dendrite_max_branch_order,basal_dendrite_max_euclidean_distance,basal_dendrite_max_path_distance,basal_dendrite_mean_contraction,basal_dendrite_mean_diameter,basal_dendrite_num_branches,basal_dendrite_soma_percentile_x,basal_dendrite_soma_percentile_y,basal_dendrite_stem_exit_down,basal_dendrite_stem_exit_side,basal_dendrite_stem_exit_up,basal_dendrite_total_length,basal_dendrite_total_surface_area,soma_aligned_dist_from_pia,soma_surface_area,axon_over_basal_dendrite_extent_x,axon_over_basal_dendrite_extent_y,axon_extent_x_over_y,basal_dendrite_extent_x_over_y,axon_over_basal_dendrite_ratio_xy,blowout_mv_qc,electrode_0_pa_qc,recording_date_qc,seal_gohm_qc,input_resistance_mohm_qc,initial_access_resistance_mohm_qc,input_access_resistance_ratio_qc,failed_ephys_qc,upstroke_downstroke_ratio_ramp,threshold_v_ramp,width_ramp,upstroke_ramp,downstroke_ramp,width_suprathresh_ramp,trough_v_ramp,threshold_i_ramp,postap_slope_ramp,fast_trough_deltav_ramp,peak_deltav_ramp,sag,sag_area,sag_tau,v_baseline,rheobase_i,fi_fit_slope,vm_for_sag,input_resistance,input_resistance_ss,tau,latency_rheo,avg_rate_rheo,mean_isi_rheo,upstroke_downstroke_ratio_rheo,threshold_v_rheo,peak_v_rheo,width_rheo,upstroke_rheo,downstroke_rheo,width_suprathresh_rheo,trough_v_rheo,fast_trough_v_rheo,postap_slope_rheo,fast_trough_v_last_rheo,adp_v_last_rheo,adapt_hero,avg_rate_hero,latency_hero,mean_isi_hero,median_isi_hero,isi_cv_hero,ir_late_hero,upstroke_downstroke_ratio_hero,threshold_v_hero,peak_v_hero,width_hero,upstroke_hero,downstroke_hero,width_suprathresh_hero,trough_v_hero,fast_trough_v_hero,postap_slope_hero,ahp_delay_ratio_hero,sag_depol,sag_area_depol,sag_tau_depol,adapt_mean,isi_cv_mean,ir_late_mean,avg_rate_max,isi_adapt_ratio,width_adapt_ratio,upstroke_adapt_ratio,downstroke_adapt_ratio,threshold_v_adapt_ratio,peak_v_adapt_ratio,ahp_delay_ratio_5spike,trough_slowdeltav_rheo,trough_slowdeltav_hero,fast_trough_deltav_rheo,fast_trough_deltav_hero,peak_deltav_rheo,peak_deltav_hero,first_isi_inv_rheo,first_isi_inv_hero,peak_ratio_chirp,peak_freq_chirp,X3db_freq_chirp,peak_impedance_chirp,low_freq_impedance_chirp,sync_freq_chirp,phase_peak_chirp,phase_low_chirp,total_inductive_phase_chirp
839897427,Inh L1-2 PAX6 CDH12,Pax6,Inh L1-2 PAX6 CDH12,nucleus_present,Pass,1.168140694,0.443698982,0.222424276,Astrocyte,1,right,MTG,H19.06.351,F,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.84437561,43545.8351,4.025804032,496.183648,9.235211,0.018612486,FALSE,3.242862494,-39.89374924,0.000826667,320.6346407,-98.98122039,0.00074,-56.94375102,26.75,-0.597021888,-10.97916921,78.37291845,0.064919017,0.6118875,0.144324722,-67.31807743,20,0.391086347,-99.66874695,291.7527258,281.809011,0.025198234,0.3023,1,,3.206679554,-39.54375076,40.78749847,0.00082,327.8933055,-102.2532186,0.00074,-58.09375381,-50.35625458,-1.154742111,-50.35625458,,0.033712631,17,0.02742,0.05777,0.06029,0.190213756,0.095524181,2.777979742,-40.31250381,36.625,0.00068,329.5518934,-118.6300564,0.00062,-48.14999771,-48.01874924,0.603640074,0.135261708,0.071211472,,,0.044346705,0.194051476,0.123116587,25,2.233694717,1.243243243,0.853907451,0.803247843,0.952143399,0.993979644,0.110631741,-7.737499237,-0.131248474,-10.81250381,-7.706245422,80.33124924,76.93750381,,38.4319754,,,,,,,,,
839918826,Inh L1-2 PAX6 CDH12,Pax6,Inh L1-2 PAX6 CDH12,nucleus_present,Pass,1.033539377,0.276796429,0.759765596,Microglia,1,right,MTG,H19.06.351,F,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.94687653,43545.86731,3.074252544,487.12512,13.438428,0.02758722,FALSE,3.658050099,-36.97708257,0.00088,310.5120144,-84.88903335,0.000806667,-51.66666921,9.958333333,-0.928697242,-9.954167684,73.84375,0.00597627,,,-50.27048976,10,0.483823529,-93.8125,371.491313,369.119137,0.020524815,0.0751,3,0.43102,3.842133496,-37.96875,35.71875,0.00088,312.1312346,-81.23903943,0.0008,-50.97500229,-46.07500076,-0.679877902,-46.00625229,,0.017152567,22,0.0079,0.046314286,0.04656,0.149568809,0.214823623,3.438920291,-37.24375153,36.89375305,0.00078,326.06206,-94.81524211,0.00072,-46.21249771,-45.70624924,-0.560555204,0.111591073,,,,0.033674334,0.141617209,0.188801322,32,1.270284793,1.2,0.775385378,0.798463507,0.934049258,0.935979688,0.090550506,-4.900001526,-0.506248474,-8.106250763,-8.462497711,73.6875,74.13750458,2.151462995,35.86800574,,,,,,,,,
654144568,Inh L1-2 PAX6 CDH12,Pax6,Inh L1-2 PAX6 CDH12,nucleus_present,Pass,0.894520902,0.38874076,0.455701401,Microglia,1,right,MTG,H17.03.016,M,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.85000038,43089.79013,2.575301376,680.708928,9.222119,0.013547816,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840146916,Inh L1-2 PAX6 CDH12,Pax6,Inh L1-2 PAX6 CDH12,nucleus_present,Pass,0.796917368,0.258220543,0.94467468,Microglia,1,right,MTG,H19.06.351,F,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.92499924,43546.20606,3.535572992,252.309568,17.838644,0.070701417,FALSE,3.0207295,-40.34166845,0.000753333,270.571779,-89.67511364,0.00072,-49.47291565,31.6666654,-0.168591344,-3.158332825,65.92083613,0.034874093,,,-65.23858414,29.99999809,0.479999987,-95.30625153,252.4687052,246.5285043,0.016935895,0.11902,2,0.10232,2.839593448,-40.59375,27.90000153,0.0007,287.5043634,-101.2484247,0.00068,-47.36875153,-43.56874847,0.574120879,-43.79999924,-43.76250076,0.053284506,23,0.02126,0.041431818,0.03267,0.594393533,0.22442712,2.658795915,-40.48125458,26.86250114,0.00064,288.2230891,-108.4036151,0.00062,-42.72500229,-42.64375305,0.675240797,0.254978355,0.087667249,,,0.061720605,0.422192719,0.207410651,31,3.655929722,1.303030303,0.807728683,0.725213106,0.93495187,0.970319682,0.189582356,-3.800003052,-0.081249237,-2.974998474,-2.162498474,68.49375153,67.34375572,9.77326036,102.6694045,,,,,,,,,
653907140,Inh L1-2 PAX6 CDH12,Pax6,Inh L1-2 PAX6 CDH12,nucleus_present,Pass,0.712289441,0.338763891,0.213332585,Microglia,1,right,MTG,H17.03.016,M,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.20499992,43089.01943,1.752218624,557.974976,12.95408,0.023216238,FALSE,4.12239817,-45.23437881,0.00095,299.5421956,-72.80220737,0.00087,-59.92187691,4.9375,-1.12367791,-8.328125,72.04688072,0.117673226,1.316504375,0.071236317,-60.05505589,10,0.654545455,-98.62500763,389.062494,343.6136104,0.026707224,0.04274,6,0.163788,4.022786073,-44.03125,31.0625,0.00088,323.1072647,-80.31927597,0.00082,-57.62500381,-52.75000381,-0.983041522,-52.68750381,,0.014980875,33,0.00876,0.0295575,0.02721,0.2046434,0.164726175,3.930587264,-44.62500381,28.62500191,0.00084,327.2597994,-83.25977199,0.00076,-52.25,-51.84375,-0.390990813,0.125,,,,0.059382256,0.231748205,0.166231753,57,1.454749679,1.159090909,0.867497954,0.845189259,0.953158268,0.943661972,0.082846938,-4.875,-0.40625,-8.718753815,-7.218746185,75.09375,73.25000572,8.024394158,54.7645126,21.66135597,37.09639126,39.76733143,9.251003265,0.427074075,39.17378917,0.607444823,0.267497897,0.118840626
654341386,Inh L1-2 PAX6 CDH12,Pax6,Inh L1-2 PAX6 CDH12,nucleus_present,Pass,0.857945662,0.406564176,0.265266239,Endothelial,1,right,MTG,H17.03.016,M,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.479999542,43089.92699,1.713839104,354.985184,13.324135,0.037534341,FALSE,3.337016678,-15.57812595,0.0008,343.3043928,-102.8781941,0.00069,-29.71875095,37.4375,1.08891424,-14.046875,74.43750477,0.033521887,,,-54.9515792,29.99999809,0.437499989,-86.90625763,256.2498748,260.9246758,0.015818477,0.2042,7,0.030636667,3.552700339,-16.28125,56.40625381,0.0008,335.2810639,-94.37358401,0.0007,-27.06250191,-27,1.652196828,-26.40625,-25.78125191,0.053709956,22,0.03148,0.045542857,0.03528,0.543588402,0.278114478,3.272992486,-17.28125191,58.625,0.0007,370.9266999,-113.3295299,0.00062,-27.40625191,-27.37500191,2.904291749,0.042623858,0.046637382,,,0.072647536,0.405147415,0.266158786,42,2.561056106,1.35,0.630711313,0.659013995,0.62571977,0.8853185,0.056175595,-0.062501907,-0.03125,-10.71875,-10.09375,72.68750381,75.90625191,83.05647841,121.3592233,1.065506816,1.80142673,4.70372535,0.832993507,0.781781495,0.400317051,-0.490317672,-0.036330212,0
721688585,Inh L1-2 PAX6 CDH12,Pax6,Inh L1-2 PAX6 CDH12,nucleus_present,Pass,1.029028749,0.356344085,0.665685369,Microglia,1,right,STG,H18.03.313,F,23,90.40815133,67.59861286,-151.7842127,-977.221227,-110.0999449,-399.8034404,43.91610911,6.644240432,16.60410475,0.267604948,347.8545021,102.8277773,0.387480368,0,0.612519632,19,242.9607287,500.3926617,0.795927914,175,0.296163339,0.050258021,6283.538084,93.42664301,-25.59615997,3,202.4619692,98.52014393,0,0.163390663,0.836609337,8,159.3356557,335.3549763,0.75991394,0.694940251,27,0.442260442,0.401719902,0,1,0,1109.498767,2430.54709,110.3039827,564.7133791,1.718122685,1.043723377,3.382884579,2.055031196,1.646147555,,14.48999977,43299.94306,3.033120768,462.762496,12.850747,0.027769638,FALSE,3.377937487,-39.54687691,0.00078,391.0085913,-115.7618401,0.00068,-59.54687881,10,-0.77402032,-15.60937691,81.04688072,0.157952964,1.605672969,0.193408412,-63.5526762,20,0.362500001,-99.03125763,465.1561081,397.3202025,0.04241467,0.06282,7,0.154476667,3.333949857,-39,43.53125,0.00076,405.5009916,-121.6278016,0.00066,-57.65625,-54.90625381,-0.205204171,-55.03125,,0.030522429,20,0.01846,0.051301053,0.05058,0.290719075,0.148776351,3.350653479,-39.43750381,41.8125,0.00072,409.529251,-122.2236956,0.00064,-53.21875381,-52.96875,0.719047405,0.032337694,,,,0.041435144,0.241500716,0.126426474,36,1.7927773,1.131578947,0.837075737,0.831008539,0.961538462,0.938262742,0.095376282,-2.749996185,-0.250003815,-15.90625381,-13.53124619,82.53125,81.25000381,10.75268817,37.09198813,1.006340027,0.400198498,1.500744369,1.174220085,1.166822433,0.400198498,-0.199651256,-0.199651256,0
811837476,Inh L1-2 PAX6 CDH12,Pax6,Inh L1-2 PAX6 CDH12,nucleus_present,Pass,0.870295217,0.162407148,1.887786177,Microglia,1,right,MTG,H19.03.302,M,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.299999952,43487.94863,1.829156224,312.612064,14.269065,0.04564464,FALSE,3.107227698,-35.50416692,0.00086,311.0277429,-100.1004898,0.000766667,-49.52916845,28.20833333,-0.105448239,-12.65000153,80.51041794,0.049230311,,,-60.42198912,20,0.38421053,-95.05625916,260.874927,252.8731852,0.027438774,0.2594,1,,2.992211305,-33.51874924,45.29375076,0.00084,304.727428,-101.8402101,0.00074,-49.13125229,-47.13125229,0.019821708,-47.13125229,-46.33750153,0.061671233,15,0.03446,0.064412857,0.06727,0.45743834,0.136326531,2.745298563,-34.66249847,42.75,0.00074,315.5429241,-114.9393834,0.00066,-46.48750305,-46.45000458,1.801373633,0.02632047,0.193097532,,,0.116951265,0.377727159,0.138966844,24,2.39619883,1.342105263,0.775296996,0.710447313,0.938786731,0.962888867,0.127360515,-2,-0.037498474,-13.61250305,-11.7875061,78.8125,77.41249847,,44.52359751,,,,,,,,,
832614788,Inh L1-2 PAX6 CDH12,Pax6,Inh L1-2 PAX6 CDH12,nucleus_present,Pass,0.496939444,0.026336312,1.649274404,Microglia,1,left,MTG,H19.03.305,M,42,130.9672128,-26.31814892,1177.264317,-1656.806448,415.3430694,-327.720898,261.2367439,2.550757001,21.24209147,0.512570785,632.468275,160.3570497,0.111887443,0,0.888112557,19,477.8423231,974.7106021,0.814472578,293,0.354421899,0.420558959,18693.67957,18.83461493,-66.84518466,4,115.5471652,140.2733285,0,0.01161103,0.98838897,6,207.0891066,265.3840602,0.819988543,0.855578375,32,0.480406386,0.595065312,0.25,0.75,0,1238.394519,3323.046191,92.07107889,782.8338007,5.473680587,1.143175623,3.944125164,0.823728691,4.788136203,,-42.91062546,43530.00946,1.611636224,480.907904,13.516064,0.028105306,FALSE,3.57233383,-32.69375356,0.001,271.9009463,-76.11633127,0.000873333,-51.04375076,30.70833206,-0.575659907,-15.67499797,69.92708842,0.080399424,0.623126445,0.124475498,-60.63829776,20,0.386842105,-98.39375305,389.187485,363.5835549,0.027522377,0.19358,2,0.63166,3.547143393,-33.17499924,42.52500153,0.00098,302.1448475,-85.17976693,0.00082,-53.07500458,-49.35000229,-0.974501819,-49.29999924,,0.017689248,20,0.02242,0.049587368,0.04886,0.146432445,0.210662359,3.195725925,-29.67500114,41.09375,0.00078,311.6486297,-97.52044981,0.00068,-43.38125229,-43.24375153,0.092359567,0.072778828,0.199704871,0.718625703,,0.016072614,0.120074596,0.26532786,29,1.221857025,1.214285714,0.819101721,0.808912938,0.942257218,0.968575812,0.050012824,-3.725002289,-0.137500763,-16.17500305,-13.56875038,75.70000076,70.76875114,1.583130165,29.86857826,1.001669049,0.400119236,2.850849553,0.590303481,0.589319885,0.400119236,-0.052554835,-0.052554835,0
835572687,Inh L1-2 PAX6 CDH12,Pax6,Inh L1-2 PAX6 CDH12,nucleus_present,Pass,1.121038146,0.568655175,0.806329509,Endothelial,1,left,ITG,H19.03.306,F,21,154.305892,-26.1166797,1776.431484,-1547.777638,551.0736307,-249.5351269,411.5575623,4.287745142,0,0.484055247,660.4144121,201.8029888,0.350046161,0.006817698,0.643136141,26,456.0077971,1269.35121,0.788591562,423,0.482991265,0.298416306,21983.96563,12.06466141,-45.0625501,4,100.0622588,120.209771,0,0,1,4,108.0557308,156.5343338,0.822541031,0.681486774,32,0.485245902,0.57704918,0,1,0,861.2921282,1846.679103,104.8761899,414.0108847,6.600035018,1.678756952,3.272570025,0.83239705,3.931501227,,16.53312492,43535.84597,3.293425664,490.079744,20.618042,0.04207079,TRUE,2.785198599,-43.91875076,0.000713333,337.3854495,-121.1827592,0.000653333,-58.64583588,6.833333333,-0.579703411,-10.30625025,80.33750153,0.079827696,0.920281563,0.106361491,-60.8422142,10,0.768206313,-102.1749954,343.9570665,341.9170881,0.031459521,0.10562,5,0.2075,2.85642087,-44.48750305,36.74374771,0.00072,340.9883826,-119.3760997,0.00064,-58.83125305,-54.82500458,0.137368362,-54,,0.006474239,43,0.01042,0.023550952,0.0223,0.155833105,0.140096618,2.464244476,-44.61874771,41.0625,0.00062,386.3224338,-156.7711474,0.00056,-54.83749771,-54.73125458,0.804775584,0.080232558,,,,0.025676768,0.162034886,0.159757513,55,2.698639121,1.083333333,0.878020957,0.895393882,0.957431797,0.957986236,0.079591713,-4.006248474,-0.106243134,-10.33750153,-10.11250687,81.23125076,85.68124771,8.199409643,49.26108374,,,,,,,,,
