cell_type,annotation_name,term_order,unique_identifier,color,alias,parent_term
NEC..,class,1,CS20260131_CLAS_001,#6BAED6,NEC,""
CR Glut..,class,2,CS20260131_CLAS_002,#919900,CR Glut,""
RG..,class,3,CS20260131_CLAS_003,#FDAE6B,RG,""
IP..,class,4,CS20260131_CLAS_004,#CEDB9C,IP,""
IMN..,class,5,CS20260131_CLAS_005,#16f2f2,IMN,""
nonIT Glut..,class,6,CS20260131_CLAS_006,#61e2a4,nonIT Glut,""
IT Glut..,class,7,CS20260131_CLAS_007,#FA0087,IT Glut,""
Glioblast..,class,8,CS20260131_CLAS_008,#637939,Glioblast,""
Astro-Epen..,class,9,CS20260131_CLAS_009,#594a26,Astro-Epen,""
OPC-Oligo..,class,10,CS20260131_CLAS_010,#03045E,OPC-Oligo,""
CTX-CGE GABA..,class,11,CS20260131_CLAS_011,#CCFF33,CTX-CGE GABA,""
CTX-MGE GABA..,class,12,CS20260131_CLAS_012,#f954ee,CTX-MGE GABA,""
CNU-MGE GABA..,class,13,CS20260131_CLAS_013,#450099,CNU-MGE GABA,""
Vascular..,class,14,CS20260131_CLAS_014,#858881,Vascular,""
Immune..,class,15,CS20260131_CLAS_015,#825f45,Immune,""
NEC,cluster,1,CS20260131_CLUS_001,#9e9ac8,NEC,NEC
IMN CR,cluster,2,CS20260131_CLUS_002,#0e33c8,IMN CR,IMN CR
CR Glut,cluster,3,CS20260131_CLUS_003,#FF7391,CR Glut,CR Glut
RG,cluster,4,CS20260131_CLUS_004,#dadaeb,RG,RG
IP nonIT,cluster,5,CS20260131_CLUS_005,#F207c0,IP nonIT,IP nonIT
IP IT,cluster,6,CS20260131_CLUS_006,#2166AC,IP IT,IP IT
IMN nonIT,cluster,7,CS20260131_CLUS_007,#b22222,IMN nonIT,IMN nonIT
IMN IT Deep Layer,cluster,8,CS20260131_CLUS_008,#f27a02,IMN IT Deep Layer,IMN IT
IMN IT Upper Layer,cluster,9,CS20260131_CLUS_009,#31a354,IMN IT Upper Layer,IMN IT
421_L6b/CT ENT Glut_4,cluster,10,CS20260131_CLUS_010,#31a354,421_L6b/CT ENT Glut_4,L6b/CT ENT Glut
427_L6b CTX Glut_2,cluster,11,CS20260131_CLUS_011,#74c476,427_L6b CTX Glut_2,L6b CTX Glut
428_L6b CTX Glut_2,cluster,12,CS20260131_CLUS_012,#a1d99b,428_L6b CTX Glut_2,L6b CTX Glut
437_L6 CT CTX Glut_1,cluster,13,CS20260131_CLUS_013,#c7e9c0,437_L6 CT CTX Glut_1,L6 CT CTX Glut
439_L6 CT CTX Glut_1,cluster,14,CS20260131_CLUS_014,#756bb1,439_L6 CT CTX Glut_1,L6 CT CTX Glut
440_L6 CT CTX Glut_1,cluster,15,CS20260131_CLUS_015,#9e9ac8,440_L6 CT CTX Glut_1,L6 CT CTX Glut
466_L5 NP CTX Glut_2,cluster,16,CS20260131_CLUS_016,#bcbddc,466_L5 NP CTX Glut_2,L5 NP CTX Glut
468_L5 NP CTX Glut_3,cluster,17,CS20260131_CLUS_017,#dadaeb,468_L5 NP CTX Glut_3,L5 NP CTX Glut
365_L5 ET CTX Glut_3,cluster,18,CS20260131_CLUS_018,#3182bd,365_L5 ET CTX Glut_3,L5 ET CTX Glut
366_L5 ET CTX Glut_3,cluster,19,CS20260131_CLUS_019,#6baed6,366_L5 ET CTX Glut_3,L5 ET CTX Glut
367_L5 ET CTX Glut_3,cluster,20,CS20260131_CLUS_020,#9ecae1,367_L5 ET CTX Glut_3,L5 ET CTX Glut
368_L5 ET CTX Glut_3,cluster,21,CS20260131_CLUS_021,#c6dbef,368_L5 ET CTX Glut_3,L5 ET CTX Glut
369_L5 ET CTX Glut_3,cluster,22,CS20260131_CLUS_022,#e6550d,369_L5 ET CTX Glut_3,L5 ET CTX Glut
371_L5 ET CTX Glut_4,cluster,23,CS20260131_CLUS_023,#fd8d3c,371_L5 ET CTX Glut_4,L5 ET CTX Glut
372_L5 ET CTX Glut_4,cluster,24,CS20260131_CLUS_024,#fdae6b,372_L5 ET CTX Glut_4,L5 ET CTX Glut
373_L5 ET CTX Glut_4,cluster,25,CS20260131_CLUS_025,#fdd0a2,373_L5 ET CTX Glut_4,L5 ET CTX Glut
4_CLA-EPd-CTX Car3 Glut_1,cluster,26,CS20260131_CLUS_026,#393b79,4_CLA-EPd-CTX Car3 Glut_1,CLA-EPd-CTX Car3 Glut
37_L6 IT CTX Glut_1,cluster,27,CS20260131_CLUS_027,#5254a3,37_L6 IT CTX Glut_1,L6 IT CTX Glut
41_L6 IT CTX Glut_2,cluster,28,CS20260131_CLUS_028,#6b6ecf,41_L6 IT CTX Glut_2,L6 IT CTX Glut
50_L6 IT CTX Glut_4,cluster,29,CS20260131_CLUS_029,#9c9ede,50_L6 IT CTX Glut_4,L6 IT CTX Glut
51_L6 IT CTX Glut_4,cluster,30,CS20260131_CLUS_030,#637939,51_L6 IT CTX Glut_4,L6 IT CTX Glut
52_L6 IT CTX Glut_4,cluster,31,CS20260131_CLUS_031,#8ca252,52_L6 IT CTX Glut_4,L6 IT CTX Glut
56_L5 IT CTX Glut_1,cluster,32,CS20260131_CLUS_032,#b5cf6b,56_L5 IT CTX Glut_1,L5 IT CTX Glut
62_L5 IT CTX Glut_3,cluster,33,CS20260131_CLUS_033,#cedb9c,62_L5 IT CTX Glut_3,L5 IT CTX Glut
63_L5 IT CTX Glut_4,cluster,34,CS20260131_CLUS_034,#8c6d31,63_L5 IT CTX Glut_4,L5 IT CTX Glut
64_L5 IT CTX Glut_4,cluster,35,CS20260131_CLUS_035,#bd9e39,64_L5 IT CTX Glut_4,L5 IT CTX Glut
68_L4/5 IT CTX Glut_1,cluster,36,CS20260131_CLUS_036,#e7ba52,68_L4/5 IT CTX Glut_1,L4/5 IT CTX Glut
73_L4/5 IT CTX Glut_1,cluster,37,CS20260131_CLUS_037,#e7cb94,73_L4/5 IT CTX Glut_1,L4/5 IT CTX Glut
82_L4/5 IT CTX Glut_2,cluster,38,CS20260131_CLUS_038,#843c39,82_L4/5 IT CTX Glut_2,L4/5 IT CTX Glut
100_L4/5 IT CTX Glut_6,cluster,39,CS20260131_CLUS_039,#ad494a,100_L4/5 IT CTX Glut_6,L4/5 IT CTX Glut
101_L4/5 IT CTX Glut_6,cluster,40,CS20260131_CLUS_040,#d6616b,101_L4/5 IT CTX Glut_6,L4/5 IT CTX Glut
109_L2/3 IT CTX Glut_2,cluster,41,CS20260131_CLUS_041,#e7969c,109_L2/3 IT CTX Glut_2,L2/3 IT CTX Glut
110_L2/3 IT CTX Glut_2,cluster,42,CS20260131_CLUS_042,#7b4173,110_L2/3 IT CTX Glut_2,L2/3 IT CTX Glut
111_L2/3 IT CTX Glut_2,cluster,43,CS20260131_CLUS_043,#a55194,111_L2/3 IT CTX Glut_2,L2/3 IT CTX Glut
116_L2/3 IT CTX Glut_3,cluster,44,CS20260131_CLUS_044,#ce6dbd,116_L2/3 IT CTX Glut_3,L2/3 IT CTX Glut
118_L2/3 IT CTX Glut_4,cluster,45,CS20260131_CLUS_045,#de9ed6,118_L2/3 IT CTX Glut_4,L2/3 IT CTX Glut
Glioblast,cluster,46,CS20260131_CLUS_046,#27a725,Glioblast,Glioblast
Glioblast SVZ,cluster,47,CS20260131_CLUS_047,#843c39,Glioblast SVZ,Glioblast
Glioblast Astro,cluster,48,CS20260131_CLUS_048,#ed0707,Glioblast Astro,Glioblast
Glioblast OPC,cluster,49,CS20260131_CLUS_049,#fdae6b,Glioblast OPC,Glioblast
5218_Astro-TE NN_1,cluster,50,CS20260131_CLUS_050,#e6550d,5218_Astro-TE NN_1,Astro-TE NN
5219_Astro-TE NN_1,cluster,51,CS20260131_CLUS_051,#fd8d3c,5219_Astro-TE NN_1,Astro-TE NN
5220_Astro-TE NN_1,cluster,52,CS20260131_CLUS_052,#fdae6b,5220_Astro-TE NN_1,Astro-TE NN
5225_Astro-TE NN_3,cluster,53,CS20260131_CLUS_053,#fdd0a2,5225_Astro-TE NN_3,Astro-TE NN
5228_Astro-TE NN_4,cluster,54,CS20260131_CLUS_054,#31a354,5228_Astro-TE NN_4,Astro-TE NN
5266_OPC NN_1,cluster,55,CS20260131_CLUS_055,#74c476,5266_OPC NN_1,OPC NN
5268_OPC NN_1,cluster,56,CS20260131_CLUS_056,#a1d99b,5268_OPC NN_1,OPC NN
5269_OPC NN_1,cluster,57,CS20260131_CLUS_057,#c7e9c0,5269_OPC NN_1,OPC NN
5271_OPC NN_2,cluster,58,CS20260131_CLUS_058,#756bb1,5271_OPC NN_2,OPC NN
5272_COP NN_1,cluster,59,CS20260131_CLUS_059,#9e9ac8,5272_COP NN_1,Oligo NN
5273_COP NN_1,cluster,60,CS20260131_CLUS_060,#bcbddc,5273_COP NN_1,Oligo NN
5275_COP NN_1,cluster,61,CS20260131_CLUS_061,#dadaeb,5275_COP NN_1,Oligo NN
5279_NFOL NN_2,cluster,62,CS20260131_CLUS_062,#636363,5279_NFOL NN_2,Oligo NN
5280_NFOL NN_2,cluster,63,CS20260131_CLUS_063,#969696,5280_NFOL NN_2,Oligo NN
5281_NFOL NN_2,cluster,64,CS20260131_CLUS_064,#bdbdbd,5281_NFOL NN_2,Oligo NN
5283_MFOL NN_3,cluster,65,CS20260131_CLUS_065,#d9d9d9,5283_MFOL NN_3,Oligo NN
5284_MOL NN_4,cluster,66,CS20260131_CLUS_066,#393b79,5284_MOL NN_4,Oligo NN
5285_MOL NN_4,cluster,67,CS20260131_CLUS_067,#5254a3,5285_MOL NN_4,Oligo NN
5286_MOL NN_4,cluster,68,CS20260131_CLUS_068,#6b6ecf,5286_MOL NN_4,Oligo NN
5288_MOL NN_4,cluster,69,CS20260131_CLUS_069,#9c9ede,5288_MOL NN_4,Oligo NN
CGE GABA,cluster,70,CS20260131_CLUS_070,#6baed6,CGE GABA,CGE GABA
623_Vip Gaba_1,cluster,71,CS20260131_CLUS_071,#636363,623_Vip Gaba_1,Vip Gaba
624_Vip Gaba_1,cluster,72,CS20260131_CLUS_072,#969696,624_Vip Gaba_1,Vip Gaba
627_Vip Gaba_2,cluster,73,CS20260131_CLUS_073,#bdbdbd,627_Vip Gaba_2,Vip Gaba
629_Vip Gaba_2,cluster,74,CS20260131_CLUS_074,#d9d9d9,629_Vip Gaba_2,Vip Gaba
633_Vip Gaba_3,cluster,75,CS20260131_CLUS_075,#5254a3,633_Vip Gaba_3,Vip Gaba
638_Vip Gaba_4,cluster,76,CS20260131_CLUS_076,#6b6ecf,638_Vip Gaba_4,Vip Gaba
639_Vip Gaba_4,cluster,77,CS20260131_CLUS_077,#9c9ede,639_Vip Gaba_4,Vip Gaba
640_Vip Gaba_5,cluster,78,CS20260131_CLUS_078,#637939,640_Vip Gaba_5,Vip Gaba
641_Vip Gaba_5,cluster,79,CS20260131_CLUS_079,#8ca252,641_Vip Gaba_5,Vip Gaba
643_Vip Gaba_5,cluster,80,CS20260131_CLUS_080,#b5cf6b,643_Vip Gaba_5,Vip Gaba
645_Vip Gaba_6,cluster,81,CS20260131_CLUS_081,#cedb9c,645_Vip Gaba_6,Vip Gaba
646_Vip Gaba_6,cluster,82,CS20260131_CLUS_082,#8c6d31,646_Vip Gaba_6,Vip Gaba
648_Vip Gaba_6,cluster,83,CS20260131_CLUS_083,#bd9e39,648_Vip Gaba_6,Vip Gaba
660_Vip Gaba_11,cluster,84,CS20260131_CLUS_084,#e7ba52,660_Vip Gaba_11,Vip Gaba
661_Vip Gaba_11,cluster,85,CS20260131_CLUS_085,#e7cb94,661_Vip Gaba_11,Vip Gaba
662_Vip Gaba_12,cluster,86,CS20260131_CLUS_086,#843c39,662_Vip Gaba_12,Vip Gaba
663_Vip Gaba_12,cluster,87,CS20260131_CLUS_087,#ad494a,663_Vip Gaba_12,Vip Gaba
673_Sncg Gaba_3,cluster,88,CS20260131_CLUS_088,#d6616b,673_Sncg Gaba_3,Sncg Gaba
676_Sncg Gaba_3,cluster,89,CS20260131_CLUS_089,#e7969c,676_Sncg Gaba_3,Sncg Gaba
682_Sncg Gaba_6,cluster,90,CS20260131_CLUS_090,#7b4173,682_Sncg Gaba_6,Sncg Gaba
706_Lamp5 Gaba_1,cluster,91,CS20260131_CLUS_091,#a55194,706_Lamp5 Gaba_1,Lamp5 Gaba
708_Lamp5 Gaba_1,cluster,92,CS20260131_CLUS_092,#de9ed6,708_Lamp5 Gaba_1,Lamp5 Gaba
709_Lamp5 Gaba_1,cluster,93,CS20260131_CLUS_093,#3182bd,709_Lamp5 Gaba_1,Lamp5 Gaba
716_Lamp5 Gaba_2,cluster,94,CS20260131_CLUS_094,#6baed6,716_Lamp5 Gaba_2,Lamp5 Gaba
717_Lamp5 Gaba_2,cluster,95,CS20260131_CLUS_095,#9ecae1,717_Lamp5 Gaba_2,Lamp5 Gaba
718_Lamp5 Gaba_2,cluster,96,CS20260131_CLUS_096,#c6dbef,718_Lamp5 Gaba_2,Lamp5 Gaba
719_Lamp5 Gaba_3,cluster,97,CS20260131_CLUS_097,#e6550d,719_Lamp5 Gaba_3,Lamp5 Gaba
720_Lamp5 Gaba_3,cluster,98,CS20260131_CLUS_098,#fd8d3c,720_Lamp5 Gaba_3,Lamp5 Gaba
722_Lamp5 Gaba_4,cluster,99,CS20260131_CLUS_099,#fdae6b,722_Lamp5 Gaba_4,Lamp5 Gaba
MGE GABA RG,cluster,100,CS20260131_CLUS_100,#e7969c,MGE GABA RG,MGE GABA RG
MGE GABA,cluster,101,CS20260131_CLUS_101,#B2182B,MGE GABA,MGE GABA
724_Lamp5 Lhx6 Gaba_1,cluster,102,CS20260131_CLUS_102,#fdd0a2,724_Lamp5 Lhx6 Gaba_1,Lamp5 Lhx6 Gaba
733_Pvalb chandelier Gaba_1,cluster,103,CS20260131_CLUS_103,#31a354,733_Pvalb chandelier Gaba_1,Pvalb chandelier Gaba
735_Pvalb Gaba_1,cluster,104,CS20260131_CLUS_104,#74c476,735_Pvalb Gaba_1,Pvalb Gaba
736_Pvalb Gaba_1,cluster,105,CS20260131_CLUS_105,#a1d99b,736_Pvalb Gaba_1,Pvalb Gaba
741_Pvalb Gaba_3,cluster,106,CS20260131_CLUS_106,#c7e9c0,741_Pvalb Gaba_3,Pvalb Gaba
742_Pvalb Gaba_3,cluster,107,CS20260131_CLUS_107,#756bb1,742_Pvalb Gaba_3,Pvalb Gaba
743_Pvalb Gaba_4,cluster,108,CS20260131_CLUS_108,#9e9ac8,743_Pvalb Gaba_4,Pvalb Gaba
744_Pvalb Gaba_4,cluster,109,CS20260131_CLUS_109,#bcbddc,744_Pvalb Gaba_4,Pvalb Gaba
747_Pvalb Gaba_4,cluster,110,CS20260131_CLUS_110,#dadaeb,747_Pvalb Gaba_4,Pvalb Gaba
752_Pvalb Gaba_6,cluster,111,CS20260131_CLUS_111,#636363,752_Pvalb Gaba_6,Pvalb Gaba
754_Pvalb Gaba_8,cluster,112,CS20260131_CLUS_112,#969696,754_Pvalb Gaba_8,Pvalb Gaba
757_Sst Gaba_1,cluster,113,CS20260131_CLUS_113,#bdbdbd,757_Sst Gaba_1,Sst Gaba
758_Sst Gaba_1,cluster,114,CS20260131_CLUS_114,#d9d9d9,758_Sst Gaba_1,Sst Gaba
761_Sst Gaba_1,cluster,115,CS20260131_CLUS_115,#5254a3,761_Sst Gaba_1,Sst Gaba
777_Sst Gaba_4,cluster,116,CS20260131_CLUS_116,#6b6ecf,777_Sst Gaba_4,Sst Gaba
779_Sst Gaba_4,cluster,117,CS20260131_CLUS_117,#9c9ede,779_Sst Gaba_4,Sst Gaba
780_Sst Gaba_4,cluster,118,CS20260131_CLUS_118,#637939,780_Sst Gaba_4,Sst Gaba
792_Sst Gaba_7,cluster,119,CS20260131_CLUS_119,#8ca252,792_Sst Gaba_7,Sst Gaba
