"Hodge_cluster_label","Hodge_cluster_color","Hodge_cluster_id","Hodge_subclass","Hodge_class"
"Inh L1-2 PAX6 CDH12","#DDACC9",1,"Pax6","GABAergic"
"Inh L1-2 PAX6 TNFAIP8L3","#FF88AD",2,"Pax6","GABAergic"
"Inh L1 LAMP5 NMBR","#E67B73",3,"Lamp5","GABAergic"
"Inh L1-4 LAMP5 LCP2","#FFA388",4,"Lamp5","GABAergic"
"Inh L1-2 LAMP5 DBP","#FF7466",5,"Lamp5","GABAergic"
"Inh L2-6 LAMP5 CA1","#C77963",6,"Lamp5_Lhx6","GABAergic"
"Inh L1 SST CHRNA4","#DD6091",7,"Sncg","GABAergic"
"Inh L1-2 ADARB2 MC4R","#FF7290",8,"Sncg","GABAergic"
"Inh L1-2 SST BAGE2","#9440F3",9,"Sncg","GABAergic"
"Inh L1-3 VIP SYT6","#9900B3",10,"Sncg","GABAergic"
"Inh L1-2 VIP TSPAN12","#6C00BF",11,"Sncg","GABAergic"
"Inh L1-4 VIP CHRNA6","#7A0099",12,"Vip","GABAergic"
"Inh L1-3 VIP ADAMTSL1","#7779BF",13,"Vip","GABAergic"
"Inh L1-4 VIP PENK","#3C3D73",14,"Vip","GABAergic"
"Inh L2-6 VIP QPCT","#A700FF",15,"Vip","GABAergic"
"Inh L3-6 VIP HS3ST3A1","#FF00FF",16,"Vip","GABAergic"
"Inh L1-2 VIP PCDH20","#BD3D9A",17,"Vip","GABAergic"
"Inh L2-5 VIP SERPINF1","#B09FFF",18,"Vip","GABAergic"
"Inh L2-5 VIP TYR","#FF4DC1",19,"Vip","GABAergic"
"Inh L1-3 VIP CHRM2","#9FAAFF",20,"Vip","GABAergic"
"Inh L2-4 VIP CBLN1","#756FB3",21,"Vip","GABAergic"
"Inh L1-3 VIP CCDC184","#FF00B3",22,"Vip","GABAergic"
"Inh L1-3 VIP GGH","#B3128A",23,"Vip","GABAergic"
"Inh L1-2 VIP LBH","#AF00E6",24,"Vip","GABAergic"
"Inh L2-3 VIP CASC6","#992E81",25,"Vip","GABAergic"
"Inh L2-4 VIP SPAG17","#A711C1",26,"Vip","GABAergic"
"Inh L1-4 VIP OPRM1","#9F219D",27,"Vip","GABAergic"
"Inh L3-6 SST NPY","#FFDA50",28,"Sst_Chodl","GABAergic"
"Inh L3-6 SST HPGD","#D9C566",29,"Sst","GABAergic"
"Inh L4-6 SST B3GAT2","#FFBB33",30,"Sst","GABAergic"
"Inh L5-6 SST KLHDC8A","#C11331",31,"Sst","GABAergic"
"Inh L5-6 SST NPM1P10","#BF8219",32,"Sst","GABAergic"
"Inh L4-6 SST GXYLT2","#802600",33,"Sst","GABAergic"
"Inh L4-5 SST STK32A","#806B19",34,"Sst","GABAergic"
"Inh L1-3 SST CALB1","#BF480D",35,"Sst","GABAergic"
"Inh L3-5 SST ADGRG6","#804811",36,"Sst","GABAergic"
"Inh L2-4 SST FRZB","#FF554D",37,"Sst","GABAergic"
"Inh L5-6 SST TH","#A81111",38,"Sst","GABAergic"
"Inh L5-6 LHX6 GLP1R","#FF2F7E",39,"Pvalb","GABAergic"
"Inh L5-6 PVALB LGR5","#ED4C50",40,"Pvalb","GABAergic"
"Inh L4-5 PVALB MEPE","#994C00",41,"Pvalb","GABAergic"
"Inh L2-4 PVALB WFDC2","#BC2B11",42,"Pvalb","GABAergic"
"Inh L4-6 PVALB SULF1","#E62A5D",43,"Pvalb","GABAergic"
"Inh L5-6 SST MIR548F2","#D6221D",44,"Pvalb","GABAergic"
"Inh L2-5 PVALB SCUBE3","#FF197F",45,"Pvalb_ChC","GABAergic"
"Exc L2 LAMP5 LTK","#D9F077",46,"L2-3_IT","Glutamatergic"
"Exc L2-4 LINC00507 GLP2R","#A6E6A9",47,"L2-3_IT","Glutamatergic"
"Exc L2-3 LINC00507 FREM3","#7AE6AB",48,"L2-3_IT","Glutamatergic"
"Exc L5-6 THEMIS C1QL3","#A19922",49,"L6_IT","Glutamatergic"
"Exc L3-4 RORB CARM1P1","#00979D",50,"L4_IT","Glutamatergic"
"Exc L3-5 RORB ESR1","#00DDC5",51,"L4_IT","Glutamatergic"
"Exc L3-5 RORB COL22A1","#00A79D",52,"L4_IT","Glutamatergic"
"Exc L3-5 RORB FILIP1L","#0094C2",53,"L4_IT","Glutamatergic"
"Exc L3-5 RORB TWIST2","#77D9B7",54,"L4_IT","Glutamatergic"
"Exc L4-5 RORB FOLH1B","#00A809",55,"L5_IT","Glutamatergic"
"Exc L4-6 RORB SEMA3E","#26FFF2",56,"L5_IT","Glutamatergic"
"Exc L4-5 RORB DAPK2","#00FF00",57,"L5_IT","Glutamatergic"
"Exc L5-6 RORB TTC12","#26BF64",58,"L5_IT","Glutamatergic"
"Exc L4-6 RORB C1R","#008F1F",59,"L5_IT","Glutamatergic"
"Exc L4-5 FEZF2 SCN4B","#104F00",60,"L5_ET","Glutamatergic"
"Exc L5-6 THEMIS DCSTAMP","#5100FF",61,"L6_IT_Car3","Glutamatergic"
"Exc L5-6 THEMIS CRABP1","#8046FF",62,"L6_IT_Car3","Glutamatergic"
"Exc L5-6 THEMIS FGF10","#B08BFF",63,"L6_IT_Car3","Glutamatergic"
"Exc L4-6 FEZF2 IL26","#73CA95",64,"L5-6_NP","Glutamatergic"
"Exc L5-6 FEZF2 ABO","#1F6666",65,"L6_CT","Glutamatergic"
"Exc L6 FEZF2 SCUBE1","#388899",66,"L6b","Glutamatergic"
"Exc L5-6 FEZF2 IL15","#336D99",67,"L6b","Glutamatergic"
"Exc L6 FEZF2 OR2T8","#254566",68,"L6b","Glutamatergic"
"Exc L5-6 FEZF2 EFTUD1P1","#335280",69,"L6b","Glutamatergic"
"OPC L1-6 PDGFRA","#6B998D",70,"OPC","Non-neuronal"
"Astro L1-6 FGFR3 SLC14A1","#665C47",71,"Astro","Non-neuronal"
"Astro L1-2 FGFR3 GFAP","#6B8059",72,"Astro","Non-neuronal"
"Oligo L1-6 OPALIN","#476662",73,"Oligo","Non-neuronal"
"Endo L2-6 NOSTRIN","#99796B",74,"Endo","Non-neuronal"
"Micro L1-6 TYROBP","#598069",75,"Micro_PVM","Non-neuronal"
